"block","agegrp","sex","oud","SMR"
"No_Treatment","10_11","Male","Active_Noninjection",1.79
"No_Treatment","10_11","Male","Active_Injection",4.4126
"No_Treatment","10_11","Male","Nonactive_Noninjection",1.8261
"No_Treatment","10_11","Male","Nonactive_Injection",4.5889
"No_Treatment","10_11","Female","Active_Noninjection",2.2898
"No_Treatment","10_11","Female","Active_Injection",5.6707
"No_Treatment","10_11","Female","Nonactive_Noninjection",2.3022
"No_Treatment","10_11","Female","Nonactive_Injection",5.6192
"No_Treatment","12_13","Male","Active_Noninjection",1.79
"No_Treatment","12_13","Male","Active_Injection",4.4126
"No_Treatment","12_13","Male","Nonactive_Noninjection",1.8261
"No_Treatment","12_13","Male","Nonactive_Injection",4.5889
"No_Treatment","12_13","Female","Active_Noninjection",2.2898
"No_Treatment","12_13","Female","Active_Injection",5.6707
"No_Treatment","12_13","Female","Nonactive_Noninjection",2.3022
"No_Treatment","12_13","Female","Nonactive_Injection",5.6192
"No_Treatment","14_15","Male","Active_Noninjection",1.79
"No_Treatment","14_15","Male","Active_Injection",4.4126
"No_Treatment","14_15","Male","Nonactive_Noninjection",1.8261
"No_Treatment","14_15","Male","Nonactive_Injection",4.5889
"No_Treatment","14_15","Female","Active_Noninjection",2.2898
"No_Treatment","14_15","Female","Active_Injection",5.6707
"No_Treatment","14_15","Female","Nonactive_Noninjection",2.3022
"No_Treatment","14_15","Female","Nonactive_Injection",5.6192
"No_Treatment","16_17","Male","Active_Noninjection",1.79
"No_Treatment","16_17","Male","Active_Injection",4.4126
"No_Treatment","16_17","Male","Nonactive_Noninjection",1.8261
"No_Treatment","16_17","Male","Nonactive_Injection",4.5889
"No_Treatment","16_17","Female","Active_Noninjection",2.2898
"No_Treatment","16_17","Female","Active_Injection",5.6707
"No_Treatment","16_17","Female","Nonactive_Noninjection",2.3022
"No_Treatment","16_17","Female","Nonactive_Injection",5.6192
"No_Treatment","18_19","Male","Active_Noninjection",1.79
"No_Treatment","18_19","Male","Active_Injection",4.4126
"No_Treatment","18_19","Male","Nonactive_Noninjection",1.8261
"No_Treatment","18_19","Male","Nonactive_Injection",4.5889
"No_Treatment","18_19","Female","Active_Noninjection",2.2898
"No_Treatment","18_19","Female","Active_Injection",5.6707
"No_Treatment","18_19","Female","Nonactive_Noninjection",2.3022
"No_Treatment","18_19","Female","Nonactive_Injection",5.6192
"No_Treatment","20_21","Male","Active_Noninjection",1.79
"No_Treatment","20_21","Male","Active_Injection",4.4126
"No_Treatment","20_21","Male","Nonactive_Noninjection",1.8261
"No_Treatment","20_21","Male","Nonactive_Injection",4.5889
"No_Treatment","20_21","Female","Active_Noninjection",2.2898
"No_Treatment","20_21","Female","Active_Injection",5.6707
"No_Treatment","20_21","Female","Nonactive_Noninjection",2.3022
"No_Treatment","20_21","Female","Nonactive_Injection",5.6192
"No_Treatment","22_23","Male","Active_Noninjection",1.79
"No_Treatment","22_23","Male","Active_Injection",4.4126
"No_Treatment","22_23","Male","Nonactive_Noninjection",1.8261
"No_Treatment","22_23","Male","Nonactive_Injection",4.5889
"No_Treatment","22_23","Female","Active_Noninjection",2.2898
"No_Treatment","22_23","Female","Active_Injection",5.6707
"No_Treatment","22_23","Female","Nonactive_Noninjection",2.3022
"No_Treatment","22_23","Female","Nonactive_Injection",5.6192
"No_Treatment","24_25","Male","Active_Noninjection",1.79
"No_Treatment","24_25","Male","Active_Injection",4.4126
"No_Treatment","24_25","Male","Nonactive_Noninjection",1.8261
"No_Treatment","24_25","Male","Nonactive_Injection",4.5889
"No_Treatment","24_25","Female","Active_Noninjection",2.2898
"No_Treatment","24_25","Female","Active_Injection",5.6707
