"block","agegrp","sex","oud","healthcare_utilization_cost_healthcare_system"
"No_Treatment","10_11","Male","Active_Noninjection",243
"No_Treatment","10_11","Male","Active_Injection",355.96
"No_Treatment","10_11","Male","Nonactive_Noninjection",162.22
"No_Treatment","10_11","Male","Nonactive_Injection",260.11
"No_Treatment","10_11","Female","Active_Noninjection",243
"No_Treatment","10_11","Female","Active_Injection",355.96
"No_Treatment","10_11","Female","Nonactive_Noninjection",162.22
"No_Treatment","10_11","Female","Nonactive_Injection",260.11
"No_Treatment","12_13","Male","Active_Noninjection",243
"No_Treatment","12_13","Male","Active_Injection",355.96
"No_Treatment","12_13","Male","Nonactive_Noninjection",162.22
"No_Treatment","12_13","Male","Nonactive_Injection",260.11
"No_Treatment","12_13","Female","Active_Noninjection",243
"No_Treatment","12_13","Female","Active_Injection",355.96
"No_Treatment","12_13","Female","Nonactive_Noninjection",162.22
"No_Treatment","12_13","Female","Nonactive_Injection",260.11
"No_Treatment","14_15","Male","Active_Noninjection",243
"No_Treatment","14_15","Male","Active_Injection",355.96
"No_Treatment","14_15","Male","Nonactive_Noninjection",162.22
"No_Treatment","14_15","Male","Nonactive_Injection",260.11
"No_Treatment","14_15","Female","Active_Noninjection",243
"No_Treatment","14_15","Female","Active_Injection",355.96
"No_Treatment","14_15","Female","Nonactive_Noninjection",162.22
"No_Treatment","14_15","Female","Nonactive_Injection",260.11
"No_Treatment","16_17","Male","Active_Noninjection",243
"No_Treatment","16_17","Male","Active_Injection",355.96
"No_Treatment","16_17","Male","Nonactive_Noninjection",162.22
"No_Treatment","16_17","Male","Nonactive_Injection",260.11
"No_Treatment","16_17","Female","Active_Noninjection",243
"No_Treatment","16_17","Female","Active_Injection",355.96
"No_Treatment","16_17","Female","Nonactive_Noninjection",162.22
"No_Treatment","16_17","Female","Nonactive_Injection",260.11
"No_Treatment","18_19","Male","Active_Noninjection",243
"No_Treatment","18_19","Male","Active_Injection",355.96
"No_Treatment","18_19","Male","Nonactive_Noninjection",162.22
"No_Treatment","18_19","Male","Nonactive_Injection",260.11
"No_Treatment","18_19","Female","Active_Noninjection",243
"No_Treatment","18_19","Female","Active_Injection",355.96
"No_Treatment","18_19","Female","Nonactive_Noninjection",162.22
"No_Treatment","18_19","Female","Nonactive_Injection",260.11
"No_Treatment","20_21","Male","Active_Noninjection",243
"No_Treatment","20_21","Male","Active_Injection",355.96
"No_Treatment","20_21","Male","Nonactive_Noninjection",162.22
"No_Treatment","20_21","Male","Nonactive_Injection",260.11
"No_Treatment","20_21","Female","Active_Noninjection",243
"No_Treatment","20_21","Female","Active_Injection",355.96
"No_Treatment","20_21","Female","Nonactive_Noninjection",162.22
"No_Treatment","20_21","Female","Nonactive_Injection",260.11
"No_Treatment","22_23","Male","Active_Noninjection",243
"No_Treatment","22_23","Male","Active_Injection",355.96
"No_Treatment","22_23","Male","Nonactive_Noninjection",162.22
"No_Treatment","22_23","Male","Nonactive_Injection",260.11
"No_Treatment","22_23","Female","Active_Noninjection",243
"No_Treatment","22_23","Female","Active_Injection",355.96
"No_Treatment","22_23","Female","Nonactive_Noninjection",162.22
"No_Treatment","22_23","Female","Nonactive_Injection",260.11
"No_Treatment","24_25","Male","Active_Noninjection",301.5
"No_Treatment","24_25","Male","Active_Injection",426.14
"No_Treatment","24_25","Male","Nonactive_Noninjection",207.635
"No_Treatment","24_25","Male","Nonactive_Injection",317.065
"No_Treatment","24_25","Female","Active_Noninjection",301.5
"No_Treatment","24_25","Female","Active_Injection",426.14
"No_Treatment","24_25","Female","Nonactive_Noninjection",207.635
"No_Treatment","24_25","Female","Nonactive_Injection",317.065
"No_Treatment","26_27","Male","Active_Noninjection",360
"No_Treatment","26_27","Male","Active_Injection",496.32
"No_Treatment","26_27","Male","Nonactive_Noninjection",253.05
"No_Treatment","26_27","Male","Nonactive_Injection",374.02
"No_Treatment","26_27","Female","Active_Noninjection",360
"No_Treatment","26_27","Female","Active_Injection",496.32
"No_Treatment","26_27","Female","Nonactive_Noninjection",253.05
"No_Treatment","26_27","Female","Nonactive_Injection",374.02
"No_Treatment","28_29","Male","Active_Noninjection",360
"No_Treatment","28_29","Male","Active_Injection",496.32
"No_Treatment","28_29","Male","Nonactive_Noninjection",253.05
"No_Treatment","28_29","Male","Nonactive_Injection",374.02
