"block","agegrp","sex","oud","counts"
"No_Treatment","10_11","Male","Active_Noninjection",888.8
"No_Treatment","10_11","Male","Active_Injection",297.6
"No_Treatment","10_11","Male","Nonactive_Noninjection",88
"No_Treatment","10_11","Male","Nonactive_Injection",29.6
"No_Treatment","10_11","Female","Active_Noninjection",552.8
"No_Treatment","10_11","Female","Active_Injection",185.2
"No_Treatment","10_11","Female","Nonactive_Noninjection",54.8
"No_Treatment","10_11","Female","Nonactive_Injection",18.4
"No_Treatment","12_13","Male","Active_Noninjection",888.8
"No_Treatment","12_13","Male","Active_Injection",297.6
"No_Treatment","12_13","Male","Nonactive_Noninjection",88
"No_Treatment","12_13","Male","Nonactive_Injection",29.6
"No_Treatment","12_13","Female","Active_Noninjection",552.8
"No_Treatment","12_13","Female","Active_Injection",185.2
"No_Treatment","12_13","Female","Nonactive_Noninjection",54.8
"No_Treatment","12_13","Female","Nonactive_Injection",18.4
"No_Treatment","14_15","Male","Active_Noninjection",898.8
"No_Treatment","14_15","Male","Active_Injection",301
"No_Treatment","14_15","Male","Nonactive_Noninjection",89
"No_Treatment","14_15","Male","Nonactive_Injection",29.8
"No_Treatment","14_15","Female","Active_Noninjection",554.8
"No_Treatment","14_15","Female","Active_Injection",185.8
"No_Treatment","14_15","Female","Nonactive_Noninjection",55
"No_Treatment","14_15","Female","Nonactive_Injection",18.4
"No_Treatment","16_17","Male","Active_Noninjection",908.8
"No_Treatment","16_17","Male","Active_Injection",304.4
"No_Treatment","16_17","Male","Nonactive_Noninjection",90
"No_Treatment","16_17","Male","Nonactive_Injection",30
"No_Treatment","16_17","Female","Active_Noninjection",556.8
"No_Treatment","16_17","Female","Active_Injection",186.4
"No_Treatment","16_17","Female","Nonactive_Noninjection",55.2
"No_Treatment","16_17","Female","Nonactive_Injection",18.4
"No_Treatment","18_19","Male","Active_Noninjection",908.8
"No_Treatment","18_19","Male","Active_Injection",304.4
"No_Treatment","18_19","Male","Nonactive_Noninjection",90
"No_Treatment","18_19","Male","Nonactive_Injection",30
"No_Treatment","18_19","Female","Active_Noninjection",556.8
"No_Treatment","18_19","Female","Active_Injection",186.4
"No_Treatment","18_19","Female","Nonactive_Noninjection",55.2
"No_Treatment","18_19","Female","Nonactive_Injection",18.4
"No_Treatment","20_21","Male","Active_Noninjection",416
"No_Treatment","20_21","Male","Active_Injection",139.6
"No_Treatment","20_21","Male","Nonactive_Noninjection",41.2
"No_Treatment","20_21","Male","Nonactive_Injection",13.6
"No_Treatment","20_21","Female","Active_Noninjection",164.8
"No_Treatment","20_21","Female","Active_Injection",55.2
"No_Treatment","20_21","Female","Nonactive_Noninjection",16.4
"No_Treatment","20_21","Female","Nonactive_Injection",5.6
"No_Treatment","22_23","Male","Active_Noninjection",416
"No_Treatment","22_23","Male","Active_Injection",139.6
"No_Treatment","22_23","Male","Nonactive_Noninjection",41.2
"No_Treatment","22_23","Male","Nonactive_Injection",13.6
"No_Treatment","22_23","Female","Active_Noninjection",164.8
"No_Treatment","22_23","Female","Active_Injection",55.2
"No_Treatment","22_23","Female","Nonactive_Noninjection",16.4
"No_Treatment","22_23","Female","Nonactive_Injection",5.6
