"agegrp","sex","death_prob"
"10_11","Male",3.22625844595414e-06
"10_11","Female",2.3250579153089e-06
"12_13","Male",3.22625844595414e-06
"12_13","Female",2.3250579153089e-06
"14_15","Male",7.70911717623557e-06
"14_15","Female",3.82233751161642e-06
"16_17","Male",1.2191975906517e-05
"16_17","Female",5.31961710792395e-06
"18_19","Male",1.2191975906517e-05
"18_19","Female",5.31961710792395e-06
"20_21","Male",2.19599929414116e-05
"20_21","Female",7.84938596809504e-06
"22_23","Male",2.19599929414116e-05
"22_23","Female",7.84938596809504e-06
"24_25","Male",2.31209020297718e-05
"24_25","Female",8.92528327722797e-06
"26_27","Male",2.4281811118132e-05
"26_27","Female",1.00011805863609e-05
"28_29","Male",2.4281811118132e-05
"28_29","Female",1.00011805863609e-05
"30_31","Male",2.77105484506324e-05
"30_31","Female",1.40792106897436e-05
"32_33","Male",2.77105484506324e-05
"32_33","Female",1.40792106897436e-05
"34_35","Male",3.06956960520188e-05
"34_35","Female",1.65460539171547e-05
"36_37","Male",3.36808436534053e-05
"36_37","Female",1.90128971445658e-05
"38_39","Male",3.36808436534053e-05
"38_39","Female",1.90128971445658e-05
"40_41","Male",4.50181210551737e-05
"40_41","Female",2.82510629345811e-05
"42_43","Male",4.50181210551737e-05
"42_43","Female",2.82510629345811e-05
"44_45","Male",5.66448984685719e-05
"44_45","Female",3.61600542104768e-05
"46_47","Male",6.82716758819701e-05
"46_47","Female",4.40690454863724e-05
"48_49","Male",6.82716758819701e-05
"48_49","Female",4.40690454863724e-05
"50_51","Male",0.000113101309719088
"50_51","Female",7.06047417944333e-05
"52_53","Male",0.000113101309719088
"52_53","Female",7.06047417944333e-05
"54_55","Male",0.00014329663309165
"54_55","Female",8.78032535174267e-05
"56_57","Male",0.000173491956464211
"56_57","Female",0.00010500176524042
"58_59","Male",0.000173491956464211
"58_59","Female",0.00010500176524042
"60_61","Male",0.000253182386493189
"60_61","Female",0.000149512510346561
"62_63","Male",0.000253182386493189
"62_63","Female",0.000149512510346561
"64_65","Male",0.000301755322696439
"64_65","Female",0.000186480316314685
"66_67","Male",0.00035032825889969
"66_67","Female",0.00022344812228281
"68_69","Male",0.00035032825889969
"68_69","Female",0.00022344812228281
"70_71","Male",0.000535512270662508
"70_71","Female",0.000363913299305629
"72_73","Male",0.000535512270662508
"72_73","Female",0.000363913299305629
"74_75","Male",0.000691246108682097
"74_75","Female",0.000482782294622675
"76_77","Male",0.000846979946701687
"76_77","Female",0.00060165128993972
"78_79","Male",0.000846979946701687
"78_79","Female",0.00060165128993972
"80_81","Male",0.00142729360016669
"80_81","Female",0.00105578936047201
"82_83","Male",0.00142729360016669
"82_83","Female",0.00105578936047201
"84_85","Male",0.00216735776112847
"84_85","Female",0.00172468666950476
"86_87","Male",0.00290742192209026
"86_87","Female",0.00239358397853751
"88_89","Male",0.00290742192209026
"88_89","Female",0.00239358397853751
"90_91","Male",0.00290742192209026
"90_91","Female",0.00239358397853751
"92_93","Male",0.00290742192209026
"92_93","Female",0.00239358397853751
"94_95","Male",0.00290742192209026
"94_95","Female",0.00239358397853751
"96_97","Male",0.00290742192209026
"96_97","Female",0.00239358397853751
"98_99","Male",0.00290742192209026
"98_99","Female",0.00239358397853751
