"agegrp","sex","oud","initial_block","to_No_Treatment_cycle52","to_Buprenorphine_cycle52","to_Naltrexone_cycle52","to_Methadone_cycle52","to_Detox_cycle52","to_corresponding_post_trt_cycle52","to_No_Treatment_cycle104","to_Buprenorphine_cycle104","to_Naltrexone_cycle104","to_Methadone_cycle104","to_Detox_cycle104","to_corresponding_post_trt_cycle104","to_No_Treatment_cycle156","to_Buprenorphine_cycle156","to_Naltrexone_cycle156","to_Methadone_cycle156","to_Detox_cycle156","to_corresponding_post_trt_cycle156"
"10_11","Male","Active_Noninjection","No_Treatment",0.982833073502656,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00615776456304734,0,0.981448891086419,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0075419469792844,0,0.982679897748267,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00631094031743693,0
"10_11","Male","Active_Injection","No_Treatment",0.982833073502656,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00615776456304734,0,0.981448891086419,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0075419469792844,0,0.982679897748267,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00631094031743693,0
"10_11","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Active_Noninjection","No_Treatment",0.970108774680664,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107219616770626,0,0.967698622316279,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0131321140414481,0,0.969842063514363,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0109886728433641,0
"10_11","Female","Active_Injection","No_Treatment",0.970108774680664,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107219616770626,0,0.967698622316279,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0131321140414481,0,0.969842063514363,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0109886728433641,0
"10_11","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"10_11","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Active_Noninjection","No_Treatment",0.982833073502656,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00615776456304734,0,0.981448891086419,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0075419469792844,0,0.982679897748267,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00631094031743693,0
"12_13","Male","Active_Injection","No_Treatment",0.982833073502656,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00615776456304734,0,0.981448891086419,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.0075419469792844,0,0.982679897748267,0.00366972064476545,0.00366972064476545,0.00366972064476545,0.00631094031743693,0
"12_13","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Female","Active_Noninjection","No_Treatment",0.970108774680664,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107219616770626,0,0.967698622316279,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0131321140414481,0,0.969842063514363,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0109886728433641,0
"12_13","Female","Active_Injection","No_Treatment",0.970108774680664,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0107219616770626,0,0.967698622316279,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0131321140414481,0,0.969842063514363,0.00638975454742441,0.00638975454742441,0.00638975454742441,0.0109886728433641,0
"12_13","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"12_13","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Male","Active_Noninjection","No_Treatment",0.986999802027185,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00535920491197871,0,0.985795125049328,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.0065638818898366,0,0.9868664906206,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00549251631856397,0
"14_15","Male","Active_Injection","No_Treatment",0.986999802027185,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00535920491197871,0,0.985795125049328,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.0065638818898366,0,0.9868664906206,0.00299990833833591,0.00261186094289567,0.00202922377960435,0.00549251631856397,0
"14_15","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Female","Active_Noninjection","No_Treatment",0.980354938859388,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00762792451287495,0,0.978640284316331,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00934257905593206,0,0.980165192551337,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00781767082092612,0
"14_15","Female","Active_Injection","No_Treatment",0.980354938859388,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00762792451287495,0,0.978640284316331,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00934257905593206,0,0.980165192551337,0.00454586267061774,0.00400590710385457,0.0034653668532646,0.00781767082092612,0
"14_15","Female","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"14_15","Female","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"16_17","Male","Active_Noninjection","No_Treatment",0.991166530551714,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00456064526091008,0,0.990141359012236,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00558581680038879,0,0.991053083492933,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00467409231969102,0
"16_17","Male","Active_Injection","No_Treatment",0.991166530551714,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00456064526091008,0,0.990141359012236,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00558581680038879,0,0.991053083492933,0.00233009603190637,0.00155400124102589,0.000388726914443249,0.00467409231969102,0
"16_17","Male","Nonactive_Noninjection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"16_17","Male","Nonactive_Injection","No_Treatment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
