"agegrp","sex","utility"
"10_11","Male",0.922
"10_11","Female",0.922
"12_13","Male",0.922
"12_13","Female",0.922
"14_15","Male",0.922
"14_15","Female",0.922
"16_17","Male",0.922
"16_17","Female",0.922
"18_19","Male",0.922
"18_19","Female",0.922
"20_21","Male",0.922
"20_21","Female",0.922
"22_23","Male",0.922
"22_23","Female",0.922
"24_25","Male",0.922
"24_25","Female",0.922
"26_27","Male",0.922
"26_27","Female",0.922
"28_29","Male",0.922
"28_29","Female",0.922
"30_31","Male",0.901
"30_31","Female",0.901
"32_33","Male",0.901
"32_33","Female",0.901
"34_35","Male",0.901
"34_35","Female",0.901
"36_37","Male",0.901
"36_37","Female",0.901
"38_39","Male",0.901
"38_39","Female",0.901
"40_41","Male",0.871
"40_41","Female",0.871
"42_43","Male",0.871
"42_43","Female",0.871
"44_45","Male",0.871
"44_45","Female",0.871
"46_47","Male",0.871
"46_47","Female",0.871
"48_49","Male",0.871
"48_49","Female",0.871
"50_51","Male",0.842
"50_51","Female",0.842
"52_53","Male",0.842
"52_53","Female",0.842
"54_55","Male",0.842
"54_55","Female",0.842
"56_57","Male",0.842
"56_57","Female",0.842
"58_59","Male",0.842
"58_59","Female",0.842
"60_61","Male",0.823
"60_61","Female",0.823
"62_63","Male",0.823
"62_63","Female",0.823
"64_65","Male",0.823
"64_65","Female",0.823
"66_67","Male",0.823
"66_67","Female",0.823
"68_69","Male",0.823
"68_69","Female",0.823
"70_71","Male",0.79
"70_71","Female",0.79
"72_73","Male",0.79
"72_73","Female",0.79
"74_75","Male",0.79
"74_75","Female",0.79
"76_77","Male",0.79
"76_77","Female",0.79
"78_79","Male",0.79
"78_79","Female",0.79
"80_81","Male",0.763
"80_81","Female",0.763
"82_83","Male",0.763
"82_83","Female",0.763
"84_85","Male",0.763
"84_85","Female",0.763
"86_87","Male",0.763
"86_87","Female",0.763
"88_89","Male",0.763
"88_89","Female",0.763
"90_91","Male",0.763
"90_91","Female",0.763
"92_93","Male",0.763
"92_93","Female",0.763
"94_95","Male",0.763
"94_95","Female",0.763
"96_97","Male",0.763
"96_97","Female",0.763
"98_99","Male",0.763
"98_99","Female",0.763
