"agegrp","sex","number_of_new_comers_cycle52","number_of_new_comers_cycle104","number_of_new_comers_cycle156"
"10_11","Male",9.1039133663766,8.36193127644468,44.9991305756196
"10_11","Female",4.80459692753272,3.5765119454909,13.0338241903171
"12_13","Male",9.1039133663766,8.36193127644468,44.9991305756196
"12_13","Female",4.80459692753272,3.5765119454909,13.0338241903171
"14_15","Male",9.1039133663766,8.36193127644468,44.9991305756196
"14_15","Female",4.80459692753272,3.5765119454909,13.0338241903171
"16_17","Male",9.1039133663766,8.36193127644468,44.9991305756196
"16_17","Female",4.80459692753272,3.5765119454909,13.0338241903171
"18_19","Male",9.1039133663766,8.36193127644468,44.9991305756196
"18_19","Female",4.80459692753272,3.5765119454909,13.0338241903171
"20_21","Male",22.1348312325633,16.252659035233,58.1115902059988
"20_21","Female",7.54374905042504,7.3306907910818,37.0766099893484
"22_23","Male",22.1348312325633,16.252659035233,58.1115902059988
"22_23","Female",7.54374905042504,7.3306907910818,37.0766099893484
"24_25","Male",16.0537362283428,12.2957081840932,52.4694973815328
"24_25","Female",5.27885142130213,4.79893746465708,32.8794433760261
"26_27","Male",9.9726412241224,8.3387573329534,46.8274045570668
"26_27","Female",3.01395379217922,2.26718413823235,28.6822767627038
"28_29","Male",9.9726412241224,8.3387573329534,46.8274045570668
"28_29","Female",3.01395379217922,2.26718413823235,28.6822767627038
"30_31","Male",9.9726412241224,8.3387573329534,46.8274045570668
"30_31","Female",3.01395379217922,2.26718413823235,28.6822767627038
"32_33","Male",9.9726412241224,8.3387573329534,46.8274045570668
"32_33","Female",3.01395379217922,2.26718413823235,28.6822767627038
"34_35","Male",5.60536308212154,4.89549556253749,26.7688143878558
"34_35","Female",1.74927514212755,1.62796953026395,15.7369174424567
"36_37","Male",1.23808494012068,1.45223379212158,6.71022421864488
"36_37","Female",0.484596492075876,0.98875492229554,2.79155812220969
"38_39","Male",1.23808494012068,1.45223379212158,6.71022421864488
"38_39","Female",0.484596492075876,0.98875492229554,2.79155812220969
"40_41","Male",1.23808494012068,1.45223379212158,6.71022421864488
"40_41","Female",0.484596492075876,0.98875492229554,2.79155812220969
"42_43","Male",1.23808494012068,1.45223379212158,6.71022421864488
"42_43","Female",0.484596492075876,0.98875492229554,2.79155812220969
"44_45","Male",1.23808494012068,1.45223379212158,6.71022421864488
"44_45","Female",0.484596492075876,0.98875492229554,2.79155812220969
"46_47","Male",1.23808494012068,1.45223379212158,6.71022421864488
"46_47","Female",0.484596492075876,0.98875492229554,2.79155812220969
"48_49","Male",1.23808494012068,1.45223379212158,6.71022421864488
"48_49","Female",0.484596492075876,0.98875492229554,2.79155812220969
"50_51","Male",0,0.126684224419116,0.239838092189847
"50_51","Female",0,0,0
"52_53","Male",0,0.126684224419116,0.239838092189847
"52_53","Female",0,0,0
"54_55","Male",0,0.126684224419116,0.239838092189847
"54_55","Female",0,0,0
"56_57","Male",0,0.126684224419116,0.239838092189847
"56_57","Female",0,0,0
"58_59","Male",0,0.126684224419116,0.239838092189847
"58_59","Female",0,0,0
"60_61","Male",0,0.126684224419116,0.239838092189847
"60_61","Female",0,0,0
"62_63","Male",0,0.126684224419116,0.239838092189847
"62_63","Female",0,0,0
"64_65","Male",0,0.126684224419116,0.239838092189847
"64_65","Female",0,0,0
"66_67","Male",0,0.126684224419116,0.239838092189847
"66_67","Female",0,0,0
"68_69","Male",0,0.126684224419116,0.239838092189847
"68_69","Female",0,0,0
"70_71","Male",0,0.126684224419116,0.239838092189847
"70_71","Female",0,0,0
"72_73","Male",0,0.126684224419116,0.239838092189847
"72_73","Female",0,0,0
"74_75","Male",0,0.126684224419116,0.239838092189847
"74_75","Female",0,0,0
"76_77","Male",0,0.126684224419116,0.239838092189847
"76_77","Female",0,0,0
"78_79","Male",0,0.126684224419116,0.239838092189847
"78_79","Female",0,0,0
"80_81","Male",0,0.126684224419116,0.239838092189847
"80_81","Female",0,0,0
"82_83","Male",0,0.126684224419116,0.239838092189847
"82_83","Female",0,0,0
"84_85","Male",0,0.126684224419116,0.239838092189847
"84_85","Female",0,0,0
"86_87","Male",0,0.126684224419116,0.239838092189847
"86_87","Female",0,0,0
"88_89","Male",0,0.126684224419116,0.239838092189847
"88_89","Female",0,0,0
"90_91","Male",0,0.126684224419116,0.239838092189847
"90_91","Female",0,0,0
"92_93","Male",0,0.126684224419116,0.239838092189847
"92_93","Female",0,0,0
"94_95","Male",0,0.126684224419116,0.239838092189847
"94_95","Female",0,0,0
"96_97","Male",0,0.126684224419116,0.239838092189847
"96_97","Female",0,0,0
"98_99","Male",0,0.126684224419116,0.239838092189847
"98_99","Female",0,0,0
