"block","agegrp","sex","oud","all_types_overdose_cycle52","all_types_overdose_cycle104","all_types_overdose_cycle156"
"No_Treatment","10_11","Male","Active_Noninjection",0.000156334172971912,0.000571615645187351,0.000196793187883157
"No_Treatment","10_11","Male","Active_Injection",0.000941353924443113,0.00344193864106009,0.00118497470000218
"No_Treatment","10_11","Female","Active_Noninjection",0.000226275808659302,0.000639676677066366,0.000582520038684715
"No_Treatment","10_11","Female","Active_Injection",0.00136250198174038,0.00385176279046389,0.00350759858870481
"No_Treatment","12_13","Male","Active_Noninjection",0.000156334172971912,0.000571615645187351,0.000196793187883157
"No_Treatment","12_13","Male","Active_Injection",0.000941353924443113,0.00344193864106009,0.00118497470000218
"No_Treatment","12_13","Female","Active_Noninjection",0.000226275808659302,0.000639676677066366,0.000582520038684715
"No_Treatment","12_13","Female","Active_Injection",0.00136250198174038,0.00385176279046389,0.00350759858870481
"No_Treatment","14_15","Male","Active_Noninjection",0.000156334172971912,0.000571615645187351,0.000196793187883157
"No_Treatment","14_15","Male","Active_Injection",0.000941353924443113,0.00344193864106009,0.00118497470000218
"No_Treatment","14_15","Female","Active_Noninjection",0.000226275808659302,0.000639676677066366,0.000582520038684715
"No_Treatment","14_15","Female","Active_Injection",0.00136250198174038,0.00385176279046389,0.00350759858870481
"No_Treatment","16_17","Male","Active_Noninjection",0.000156334172971912,0.000571615645187351,0.000196793187883157
"No_Treatment","16_17","Male","Active_Injection",0.000941353924443113,0.00344193864106009,0.00118497470000218
"No_Treatment","16_17","Female","Active_Noninjection",0.000226275808659302,0.000639676677066366,0.000582520038684715
"No_Treatment","16_17","Female","Active_Injection",0.00136250198174038,0.00385176279046389,0.00350759858870481
"No_Treatment","18_19","Male","Active_Noninjection",0.000156334172971912,0.000571615645187351,0.000196793187883157
"No_Treatment","18_19","Male","Active_Injection",0.000941353924443113,0.00344193864106009,0.00118497470000218
"No_Treatment","18_19","Female","Active_Noninjection",0.000226275808659302,0.000639676677066366,0.000582520038684715
"No_Treatment","18_19","Female","Active_Injection",0.00136250198174038,0.00385176279046389,0.00350759858870481
"No_Treatment","20_21","Male","Active_Noninjection",0.00192582128750785,0.00135888039177772,0.00112199235258001
"No_Treatment","20_21","Male","Active_Injection",0.0115961813870172,0.00818239138207218,0.00675598868896129
"No_Treatment","20_21","Female","Active_Noninjection",0.00217193559030596,0.00165923070876767,0.00108476408755974
"No_Treatment","20_21","Female","Active_Injection",0.0130781393006091,0.00999092718861673,0.00653182161972217
"No_Treatment","22_23","Male","Active_Noninjection",0.00192582128750785,0.00135888039177772,0.00112199235258001
"No_Treatment","22_23","Male","Active_Injection",0.0115961813870172,0.00818239138207218,0.00675598868896129
"No_Treatment","22_23","Female","Active_Noninjection",0.00217193559030596,0.00165923070876767,0.00108476408755974
"No_Treatment","22_23","Female","Active_Injection",0.0130781393006091,0.00999092718861673,0.00653182161972217
"No_Treatment","24_25","Male","Active_Noninjection",0.00128955073967975,0.00120654131642149,0.00106951875238021
"No_Treatment","24_25","Male","Active_Injection",0.00776492833581661,0.00726509362364553,0.00644002303322063
"No_Treatment","24_25","Female","Active_Noninjection",0.00134560622860624,0.00112327025385985,0.000911973768192784
"No_Treatment","24_25","Female","Active_Injection",0.00810246205275392,0.0067636834709911,0.00549137830429241
"No_Treatment","26_27","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","26_27","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","26_27","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","26_27","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","28_29","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","28_29","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","28_29","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","28_29","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","30_31","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","30_31","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","30_31","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","30_31","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","32_33","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","32_33","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","32_33","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","32_33","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","34_35","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","34_35","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","34_35","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","34_35","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","36_37","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","36_37","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","36_37","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","36_37","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","38_39","Male","Active_Noninjection",0.000653280191851644,0.00105420224106526,0.0010170451521804
"No_Treatment","38_39","Male","Active_Injection",0.00393367528461603,0.00634779586521887,0.00612405737747996
"No_Treatment","38_39","Female","Active_Noninjection",0.000519276866906526,0.000587309798952024,0.000739183448825827
"No_Treatment","38_39","Female","Active_Injection",0.00312678480489873,0.00353643975336547,0.00445093498886264
"No_Treatment","40_41","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","40_41","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","40_41","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","40_41","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","42_43","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","42_43","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","42_43","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","42_43","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","44_45","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","44_45","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","44_45","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","44_45","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","46_47","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","46_47","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","46_47","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","46_47","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","48_49","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","48_49","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","48_49","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","48_49","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","50_51","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","50_51","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","50_51","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","50_51","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","52_53","Male","Active_Noninjection",0.000433691539396874,0.000567705114532089,0.000877643357443843
"No_Treatment","52_53","Male","Active_Injection",0.00261143948791269,0.00341839168834331,0.00528466043658689
"No_Treatment","52_53","Female","Active_Noninjection",0.000424650366411974,0.000427627773945572,0.00077777049963713
"No_Treatment","52_53","Female","Active_Injection",0.00255699877601258,0.00257492700125686,0.00468328387985292
"No_Treatment","54_55","Male","Active_Noninjection",0.00035104730643085,0.000480956517314998,0.000710753951817364
"No_Treatment","54_55","Male","Active_Injection",0.00211380374035841,0.00289604183432314,0.00427974900904705
"No_Treatment","54_55","Female","Active_Noninjection",0.000358279660799666,0.000396481410540318,0.000477245483570592
"No_Treatment","54_55","Female","Active_Injection",0.00215735279325339,0.00238738162415664,0.00287369613656155
"No_Treatment","56_57","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","56_57","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","56_57","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","56_57","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","58_59","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","58_59","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","58_59","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","58_59","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","60_61","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","60_61","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","60_61","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","60_61","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","62_63","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","62_63","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","62_63","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","62_63","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","64_65","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","64_65","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","64_65","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","64_65","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","66_67","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","66_67","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","66_67","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","66_67","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","68_69","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","68_69","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","68_69","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","68_69","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","70_71","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","70_71","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","70_71","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","70_71","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","72_73","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","72_73","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","72_73","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","72_73","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","74_75","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","74_75","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","74_75","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","74_75","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","76_77","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","76_77","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","76_77","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","76_77","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","78_79","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","78_79","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","78_79","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","78_79","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","80_81","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","80_81","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","80_81","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","80_81","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","82_83","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","82_83","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","82_83","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","82_83","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","84_85","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","84_85","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
"No_Treatment","84_85","Female","Active_Noninjection",0.000291908955187357,0.000365335047135063,0.000176720467504054
"No_Treatment","84_85","Female","Active_Injection",0.0017577068104942,0.00219983624705643,0.00106410839327018
"No_Treatment","86_87","Male","Active_Noninjection",0.000268403073464825,0.000394207920097907,0.000543864546190886
"No_Treatment","86_87","Male","Active_Injection",0.00161616799280413,0.00237369198030297,0.00327483758150721
