"block","agegrp","sex","initial_status","to_Active_Noninjection","to_Active_Injection","to_Nonactive_Noninjection","to_Nonactive_Injection"
"No_Treatment","10_11","Male","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","10_11","Male","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","10_11","Male","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","10_11","Male","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","10_11","Female","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","10_11","Female","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","10_11","Female","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","10_11","Female","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","12_13","Male","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","12_13","Male","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","12_13","Male","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","12_13","Male","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","12_13","Female","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","12_13","Female","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","12_13","Female","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","12_13","Female","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","14_15","Male","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","14_15","Male","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","14_15","Male","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","14_15","Male","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","14_15","Female","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","14_15","Female","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","14_15","Female","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","14_15","Female","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","16_17","Male","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","16_17","Male","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","16_17","Male","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","16_17","Male","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","16_17","Female","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","16_17","Female","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","16_17","Female","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","16_17","Female","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","18_19","Male","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","18_19","Male","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","18_19","Male","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","18_19","Male","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","18_19","Female","Active_Noninjection",0.998593575501243,0.000857300602622928,0.000549123896134275,0
"No_Treatment","18_19","Female","Active_Injection",0.000603317209440534,0.998613194972968,0,0.00078348781759159
"No_Treatment","18_19","Female","Nonactive_Noninjection",0.00272436891226456,0.000242303029921273,0.997033328057814,0
"No_Treatment","18_19","Female","Nonactive_Injection",0.000240176775217702,0.0030082234174416,0,0.996751599807341
"No_Treatment","20_21","Male","Active_Noninjection",0.998516784280155,0.000922790496730982,0.00056042522311378,0
"No_Treatment","20_21","Male","Active_Injection",0.000834345687735077,0.99848628199583,0,0.000679372316434928
"No_Treatment","20_21","Male","Nonactive_Noninjection",0.00266204725088524,0.000251975300645076,0.99708597744847,0
"No_Treatment","20_21","Male","Nonactive_Injection",0.000195369895898794,0.00321175748579497,0,0.996592872618306
"No_Treatment","20_21","Female","Active_Noninjection",0.998516784280155,0.000922790496730982,0.00056042522311378,0
"No_Treatment","20_21","Female","Active_Injection",0.000834345687735077,0.99848628199583,0,0.000679372316434928
"No_Treatment","20_21","Female","Nonactive_Noninjection",0.00266204725088524,0.000251975300645076,0.99708597744847,0
"No_Treatment","20_21","Female","Nonactive_Injection",0.000195369895898794,0.00321175748579497,0,0.996592872618306
"No_Treatment","22_23","Male","Active_Noninjection",0.998516784280155,0.000922790496730982,0.00056042522311378,0
"No_Treatment","22_23","Male","Active_Injection",0.000834345687735077,0.99848628199583,0,0.000679372316434928
"No_Treatment","22_23","Male","Nonactive_Noninjection",0.00266204725088524,0.000251975300645076,0.99708597744847,0
"No_Treatment","22_23","Male","Nonactive_Injection",0.000195369895898794,0.00321175748579497,0,0.996592872618306
"No_Treatment","22_23","Female","Active_Noninjection",0.998516784280155,0.000922790496730982,0.00056042522311378,0
"No_Treatment","22_23","Female","Active_Injection",0.000834345687735077,0.99848628199583,0,0.000679372316434928
"No_Treatment","22_23","Female","Nonactive_Noninjection",0.00266204725088524,0.000251975300645076,0.99708597744847,0
"No_Treatment","22_23","Female","Nonactive_Injection",0.000195369895898794,0.00321175748579497,0,0.996592872618306
"No_Treatment","24_25","Male","Active_Noninjection",0.998441622717521,0.000788979470628767,0.000769397811850644,0
"No_Treatment","24_25","Male","Active_Injection",0.000710255089297635,0.998613699294981,0,0.000676045615722007
"No_Treatment","24_25","Male","Nonactive_Noninjection",0.00278423257105514,0.000216437493176008,0.996999329935769,0
"No_Treatment","24_25","Male","Nonactive_Injection",0.000239377028197972,0.00328784842020773,0,0.996472774551594
"No_Treatment","24_25","Female","Active_Noninjection",0.998441622717521,0.000788979470628767,0.000769397811850644,0
"No_Treatment","24_25","Female","Active_Injection",0.000710255089297635,0.998613699294981,0,0.000676045615722007
"No_Treatment","24_25","Female","Nonactive_Noninjection",0.00278423257105514,0.000216437493176008,0.996999329935769,0
"No_Treatment","24_25","Female","Nonactive_Injection",0.000239377028197972,0.00328784842020773,0,0.996472774551594
"No_Treatment","26_27","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","26_27","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","26_27","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","26_27","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","26_27","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","26_27","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","26_27","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","26_27","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","28_29","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","28_29","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","28_29","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","28_29","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","28_29","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","28_29","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","28_29","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","28_29","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","30_31","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","30_31","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","30_31","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","30_31","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","30_31","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","30_31","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","30_31","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","30_31","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","32_33","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","32_33","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","32_33","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","32_33","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","32_33","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","32_33","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","32_33","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","32_33","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","34_35","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","34_35","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","34_35","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","34_35","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","34_35","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","34_35","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","34_35","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","34_35","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","36_37","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","36_37","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","36_37","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","36_37","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","36_37","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","36_37","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","36_37","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","36_37","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","38_39","Male","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","38_39","Male","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","38_39","Male","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","38_39","Male","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","38_39","Female","Active_Noninjection",0.998366461154886,0.000655168444526551,0.000978370400587507,0
"No_Treatment","38_39","Female","Active_Injection",0.000586164490860193,0.998741116594131,0,0.000672718915009086
"No_Treatment","38_39","Female","Nonactive_Noninjection",0.00290641789122504,0.00018089968570694,0.996912682423068,0
"No_Treatment","38_39","Female","Nonactive_Injection",0.000283384160497149,0.00336393935462049,0,0.996352676484882
"No_Treatment","40_41","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","40_41","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","40_41","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","40_41","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","40_41","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","40_41","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","40_41","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","40_41","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","42_43","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","42_43","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","42_43","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","42_43","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","42_43","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","42_43","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","42_43","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","42_43","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","44_45","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","44_45","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","44_45","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","44_45","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","44_45","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","44_45","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","44_45","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","44_45","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","46_47","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","46_47","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","46_47","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","46_47","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","46_47","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","46_47","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","46_47","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","46_47","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","48_49","Male","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","48_49","Male","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","48_49","Male","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","48_49","Male","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
"No_Treatment","48_49","Female","Active_Noninjection",0.998268794652898,0.000865937092286314,0.000865268254815988,0
"No_Treatment","48_49","Female","Active_Injection",0.000796153139349753,0.998213038769709,0,0.000990808090941119
"No_Treatment","48_49","Female","Nonactive_Noninjection",0.00353294790561166,0.000332633116199431,0.996134418978189,0
"No_Treatment","48_49","Female","Nonactive_Injection",0.000296579748609759,0.00318407101776961,0,0.996519349233621
