housing_uptake,strategy,value
0,Status Quo,18.95
0.05,Status Quo,18.95
0.1,Status Quo,18.95
0.15,Status Quo,18.95
0.2,Status Quo,18.95
0.25,Status Quo,18.95
0.3,Status Quo,18.95
0.35,Status Quo,18.95
0.4,Status Quo,18.95
0.45,Status Quo,18.95
0.5,Status Quo,18.95
0,Sweep,19.94
0.05,Sweep,19.94
0.1,Sweep,19.94
0.15,Sweep,19.94
0.2,Sweep,19.94
0.25,Sweep,19.94
0.3,Sweep,19.94
0.35,Sweep,19.94
0.4,Sweep,19.94
0.45,Sweep,19.94
0.5,Sweep,19.94
0,Housing (MOUD Choice),18.55
0.05,Housing (MOUD Choice),18.4
0.1,Housing (MOUD Choice),18.25
0.15,Housing (MOUD Choice),18.1
0.2,Housing (MOUD Choice),17.95
0.25,Housing (MOUD Choice),17.8
0.3,Housing (MOUD Choice),17.65
0.35,Housing (MOUD Choice),17.5
0.4,Housing (MOUD Choice),17.35
0.45,Housing (MOUD Choice),17.2
0.5,Housing (MOUD Choice),17.05
0,Housing (MOUD Required),19.24
0.05,Housing (MOUD Required),19.18
0.1,Housing (MOUD Required),19.12
0.15,Housing (MOUD Required),19.06
0.2,Housing (MOUD Required),19
0.25,Housing (MOUD Required),18.94
0.3,Housing (MOUD Required),18.88
0.35,Housing (MOUD Required),18.82
0.4,Housing (MOUD Required),18.76
0.45,Housing (MOUD Required),18.7
0.5,Housing (MOUD Required),18.64
