agegrp,sex,oud,initial_block,to_Corrections_cycle936
18_19,Male,Active_Noninjection,No_Treatment,0.00116
18_19,Male,Active_Injection,No_Treatment,0.00116
18_19,Male,Nonactive_Noninjection,No_Treatment,0.000822
18_19,Male,Nonactive_Injection,No_Treatment,0.000822
18_19,Female,Active_Noninjection,No_Treatment,0.000188
18_19,Female,Active_Injection,No_Treatment,0.000188
18_19,Female,Nonactive_Noninjection,No_Treatment,0.000134
18_19,Female,Nonactive_Injection,No_Treatment,0.000134
20_21,Male,Active_Noninjection,No_Treatment,0.002899
20_21,Male,Active_Injection,No_Treatment,0.002899
20_21,Male,Nonactive_Noninjection,No_Treatment,0.002056
20_21,Male,Nonactive_Injection,No_Treatment,0.002056
20_21,Female,Active_Noninjection,No_Treatment,0.000188
20_21,Female,Active_Injection,No_Treatment,0.000188
20_21,Female,Nonactive_Noninjection,No_Treatment,0.000134
20_21,Female,Nonactive_Injection,No_Treatment,0.000134
22_23,Male,Active_Noninjection,No_Treatment,0.002899
22_23,Male,Active_Injection,No_Treatment,0.002899
22_23,Male,Nonactive_Noninjection,No_Treatment,0.002056
22_23,Male,Nonactive_Injection,No_Treatment,0.002056
22_23,Female,Active_Noninjection,No_Treatment,0.000188
22_23,Female,Active_Injection,No_Treatment,0.000188
22_23,Female,Nonactive_Noninjection,No_Treatment,0.000134
22_23,Female,Nonactive_Injection,No_Treatment,0.000134
24_25,Male,Active_Noninjection,No_Treatment,0.003092
24_25,Male,Active_Injection,No_Treatment,0.003092
24_25,Male,Nonactive_Noninjection,No_Treatment,0.001602
24_25,Male,Nonactive_Injection,No_Treatment,0.001602
24_25,Female,Active_Noninjection,No_Treatment,0.000361
24_25,Female,Active_Injection,No_Treatment,0.000361
24_25,Female,Nonactive_Noninjection,No_Treatment,0.00016
24_25,Female,Nonactive_Injection,No_Treatment,0.00016
26_27,Male,Active_Noninjection,No_Treatment,0.003285
26_27,Male,Active_Injection,No_Treatment,0.003285
26_27,Male,Nonactive_Noninjection,No_Treatment,0.001148
26_27,Male,Nonactive_Injection,No_Treatment,0.001148
26_27,Female,Active_Noninjection,No_Treatment,0.000534
26_27,Female,Active_Injection,No_Treatment,0.000534
26_27,Female,Nonactive_Noninjection,No_Treatment,0.000186
26_27,Female,Nonactive_Injection,No_Treatment,0.000186
28_29,Male,Active_Noninjection,No_Treatment,0.003285
28_29,Male,Active_Injection,No_Treatment,0.003285
28_29,Male,Nonactive_Noninjection,No_Treatment,0.001148
28_29,Male,Nonactive_Injection,No_Treatment,0.001148
28_29,Female,Active_Noninjection,No_Treatment,0.000534
28_29,Female,Active_Injection,No_Treatment,0.000534
28_29,Female,Nonactive_Noninjection,No_Treatment,0.000186
28_29,Female,Nonactive_Injection,No_Treatment,0.000186
30_31,Male,Active_Noninjection,No_Treatment,0.003285
