,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.14436271574504e-05,9.47987609811121e-06,3.18890535324302e-07,2.66470066862068e-07,6.35537720821942e-07,5.27952773200494e-07,1.74761249240591e-08,1.41844767103924e-08,2.35568140150688e-05,1.95292980004583e-05,6.57571567605887e-07,5.42328094441836e-07,6.93310069773311e-07,5.77308951423633e-07,1.91591266883938e-08,1.58705118689848e-08,2.35568140150688e-05,1.95292980004583e-05,6.57571567605887e-07,5.42328094441836e-07,6.93310069773311e-07,5.77308951423633e-07,1.91591266883938e-08,1.58705118689848e-08,0.000102349888413884,8.47327423483381e-05,2.11267016314188e-06,1.7632585445884e-06,4.50202991201706e-06,3.74545775338187e-06,9.15000664921239e-08,7.44942429991375e-08,0.000197287276165398,0.000163227812912044,2.78363989738404e-06,2.32696507130514e-06,9.63652271035265e-06,8.01618989982425e-06,1.33795889752821e-07,1.08719199168493e-07,0.000197287276165398,0.000163227812912044,2.78363989738404e-06,2.32696507130514e-06,9.63652271035265e-06,8.01618989982425e-06,1.33795889752821e-07,1.08719199168493e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.97127584406002e-05,2.46529888193709e-05,7.75051588937287e-07,6.52419341542473e-07,1.65083873495433e-06,1.37280641115882e-06,4.2499181566403e-08,3.47488160292033e-08,6.09671733232473e-05,5.06110681855507e-05,1.61410250759831e-06,1.32760027300749e-06,1.7969876575707e-06,1.49858413257598e-06,4.70935698948258e-08,3.88927551901728e-08,6.09671733232473e-05,5.06110681855507e-05,1.61410250759831e-06,1.32760027300749e-06,1.7969876575707e-06,1.49858413257598e-06,4.70935698948258e-08,3.88927551901728e-08,0.00026469868013982,0.000219372167638783,5.1806103156831e-06,4.34181033012549e-06,1.16611989896534e-05,9.71476184017087e-06,2.24632805277805e-07,1.83642085507178e-07,0.00050986207113597,0.000422187934305354,6.82646590334178e-06,5.78578089872197e-06,2.49450533296526e-05,2.07774438096886e-05,3.28399976260615e-07,2.70566509437318e-07,0.00050986207113597,0.000422187934305354,6.82646590334178e-06,5.78578089872197e-06,2.49450533296526e-05,2.07774438096886e-05,3.28399976260615e-07,2.70566509437318e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.1589407062615e-05,4.28742543911254e-05,1.27196423545561e-06,1.07708601085935e-06,2.86764620306327e-06,2.38730882618138e-06,6.97912983996468e-08,5.74018256304115e-08,0.000105675330101443,8.78440986295323e-05,2.67814525452971e-06,2.19724145069847e-06,3.12543332738765e-06,2.61043218560621e-06,7.85373575247739e-08,6.46531969349426e-08,0.000105675330101443,8.78440986295323e-05,2.67814525452971e-06,2.19724145069847e-06,3.12543332738765e-06,2.61043218560621e-06,7.85373575247739e-08,6.46531969349426e-08,0.000458040408853233,0.000380036667801659,8.57530985298736e-06,7.21010443045438e-06,2.02195131451323e-05,1.68685300198309e-05,3.72560493206504e-07,3.05533346492537e-07,0.000881546407422947,0.000730614147369458,1.13012572803145e-05,9.69003630370364e-06,4.32162015860603e-05,3.60448205863643e-05,5.4445174518359e-07,4.5380283356859e-07,0.000881546407422947,0.000730614147369458,1.13012572803145e-05,9.69003630370364e-06,4.32162015860603e-05,3.60448205863643e-05,5.4445174518359e-07,4.5380283356859e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7.4879621342874e-05,6.23339081798051e-05,1.76014355468429e-06,1.49757536930872e-06,4.16434564157537e-06,3.47079172319303e-06,9.66456056199545e-08,7.98628438399703e-08,0.000153348608121081,0.000127649189946195,3.7508855405832e-06,3.07014089773431e-06,4.55936112227909e-06,3.81401939112907e-06,1.10975976239918e-07,9.10380365239472e-08,0.000153348608121081,0.000127649189946195,3.7508855405832e-06,3.07014089773431e-06,4.55936112227909e-06,3.81401939112907e-06,1.10975976239918e-07,9.10380365239472e-08,0.000662951307231973,0.000550703284012627,1.1966137229357e-05,1.00854529877815e-05,2.93366278219559e-05,2.4510711238952e-05,5.21348207734429e-07,4.28511828977007e-07,0.00127471326377248,0.00105747886315991,1.57719237704362e-05,1.36541871450045e-05,6.2636190254141e-05,5.23159075536471e-05,7.61384911137154e-07,6.40735928134264e-07,0.00127471326377248,0.00105747886315991,1.57719237704362e-05,1.36541871450045e-05,6.2636190254141e-05,5.23159075536471e-05,7.61384911137154e-07,6.40735928134264e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9.81303644335765e-05,8.18275020085115e-05,2.21591218371056e-06,1.89248428613523e-06,5.46028107304769e-06,4.55628274517834e-06,1.21765716057533e-07,1.00992811915972e-07,0.000201207658372739,0.000167722127033198,4.7841404892288e-06,3.90725595977847e-06,6.0241504469232e-06,5.04730626560333e-06,1.43309724435955e-07,1.17116811908762e-07,0.000201207658372739,0.000167722127033198,4.7841404892288e-06,3.90725595977847e-06,6.0241504469232e-06,5.04730626560333e-06,1.43309724435955e-07,1.17116811908762e-07,0.000866820060492602,0.000720938607611971,1.51887276840148e-05,1.28236992496264e-05,3.84668259352036e-05,3.21876540295157e-05,6.6418151148256e-07,5.46710604135025e-07,0.00166493672875615,0.00138259585437694,2.00203384745401e-05,1.7470035768454e-05,8.20250250652074e-05,6.86097946493014e-05,9.69024890527941e-07,8.21890080993108e-07,0.00166493672875615,0.00138259585437694,2.00203384745401e-05,1.7470035768454e-05,8.20250250652074e-05,6.86097946493014e-05,9.69024890527941e-07,8.21890080993108e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.000120418460131883,0.000100584521976094,2.62957725242943e-06,2.25245921615726e-06,6.70408176815115e-06,5.60092957509654e-06,1.44619290377013e-07,1.20292826052946e-07,0.000247545084325527,0.00020663997497331,5.75691682649722e-06,4.69198953699927e-06,7.47484565026518e-06,6.27271775187875e-06,1.75125581891621e-07,1.42538669457618e-07,0.000247545084325527,0.00020663997497331,5.75691682649722e-06,4.69198953699927e-06,7.47484565026518e-06,6.27271775187875e-06,1.75125581891621e-07,1.42538669457618e-07,0.0010618227048782,0.00088424068574825,1.81703680133397e-05,1.53588079723519e-05,4.72700624679042e-05,3.96151322239703e-05,7.9810163783601e-07,6.57478155997659e-07,0.00203707886958583,0.00169340904993428,2.39486756128302e-05,2.10333464136094e-05,0.00010064668435302,8.43113134729826e-05,1.16286335011822e-06,9.92554240152712e-07,0.00203707886958583,0.00169340904993428,2.39486756128302e-05,2.10333464136094e-05,0.00010064668435302,8.43113134729826e-05,1.16286335011822e-06,9.92554240152712e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.000141194621515191,0.000118141631194369,2.99885906214699e-06,2.57476529165857e-06,7.86504639827809e-06,6.57893496238706e-06,1.65078855086703e-07,1.3761559405236e-07,0.000291382288140142,0.000243580119368419,6.66246257052505e-06,5.41941086259265e-06,8.8858530166281e-06,7.46866741766819e-06,2.06316680985431e-07,1.67216853847621e-07,0.000291382288140142,0.000243580119368419,6.66246257052505e-06,5.41941086259265e-06,8.8858530166281e-06,7.46866741766819e-06,2.06316680985431e-07,1.67216853847621e-07,0.00124345234678396,0.00103683539328828,2.08879074485106e-05,1.76680210191409e-05,5.55480226814382e-05,4.66258814056284e-05,9.22183614649353e-07,7.59908305258956e-07,0.00238244583136563,0.00198266092988065,2.75244881709753e-05,2.43002387555642e-05,0.000118072252839471,9.90587431348045e-05,1.3414202537582e-06,1.15074602648014e-06,0.00238244583136563,0.00198266092988065,2.75244881709753e-05,2.43002387555642e-05,0.000118072252839471,9.90587431348045e-05,1.3414202537582e-06,1.15074602648014e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.000160169136451426,0.00013424960714594,3.32525325331066e-06,2.86017570608106e-06,8.92683430251867e-06,7.47638094080794e-06,1.83223080255257e-07,1.53000166945779e-07,0.000332226984029334,0.00027812152446761,7.50119873661623e-06,6.09039984338793e-06,1.02439397601119e-05,8.6237954094898e-06,2.36893661343241e-07,1.91170918801006e-07,0.000332226984029334,0.00027812152446761,7.50119873661623e-06,6.09039984338793e-06,1.02439397601119e-05,8.6237954094898e-06,2.36893661343241e-07,1.91170918801006e-07,0.00140945976491213,0.00117680896604082,2.33441519123839e-05,1.97518528442664e-05,6.3198468165015e-05,5.31321212650695e-05,1.03653274010131e-06,8.54009239852639e-07,0.00269673571000662,0.00224671065682658,3.07499160633226e-05,2.72612684928843e-05,0.000134081839725271,0.000112663307588008,1.50478299575008e-06,1.29601516399563e-06,0.00269673571000662,0.00224671065682658,3.07499160633226e-05,2.72612684928843e-05,0.000134081839725271,0.000112663307588008,1.50478299575008e-06,1.29601516399563e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
